,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster
130,AL QUSAIS SECOND,233,1791180.188,5345.32662446,25.269362123399556,55.387207900415795,1,21,0,83,13,47,64,13,58,63,3
131,AL YALAYIS 4,924,13235536.979,14984.512959900001,24.96585085347894,55.32006244858411,0,0,0,0,0,5,0,0,0,0,1
132,RAS AL KHOR IND. SECOND,613,4173756.228,8234.96044565,25.17752503179924,55.35751136724246,1,1,1,22,0,6,31,3,22,8,1
133,AL BUTEEN,114,147788.087322,1571.08872108,25.268688816400644,55.2997463399181,33,16,4,142,56,73,118,16,109,140,2
134,WADI ALSHABAK,431,10541064.6533,13832.635909999999,25.176204521804948,55.484036991528654,11,2,0,6,0,6,3,1,10,3,1
135,WADI AL SAFA 7,665,8407907.41113,12827.3568919,25.039820218627852,55.285584544136476,3,3,0,26,2,13,28,11,23,3,1
136,AL BARSHA FIRST,373,3954266.2810000004,9408.60209789,25.111030625085498,55.19497811257674,29,34,3,141,71,99,117,44,148,124,2
137,BURJ KHALIFA,345,2660075.4591900003,6788.52186503,25.19516818186388,55.27571206284586,54,18,8,248,152,126,190,57,171,113,0
138,BUSINESS BAY,346,6586257.00525,12890.667813600001,25.183161529377433,55.27074463038903,42,15,5,245,122,121,158,60,178,103,0
139,ZAA'BEEL FIRST,325,4120079.3465,8793.46450571,25.223655837447005,55.30538572056361,32,24,4,144,67,87,160,25,59,102,2
140,ME'AISEM SECOND,686,10430083.9815,15227.3447856,24.99629333657001,55.218464085836686,0,0,0,7,2,5,4,3,7,2,1
141,AL BARSHA SOUTH FIRST,671,5900197.1915,11324.767355,25.086661354166626,55.23095868493998,6,2,1,39,5,19,34,12,45,4,1
142,AL QUSAIS IND. FIFTH,248,2395554.953,6652.78840519,25.286586455305546,55.41457191565026,6,9,1,59,5,17,47,8,42,7,3
143,ZAA'BEEL SECOND,337,10792102.1947,15494.2797439,25.202565086223537,55.29632261909079,50,13,6,211,108,115,171,50,164,102,0
144,AL WASL,343,4872908.6453800015,9605.82182453,25.19639371305704,55.25505369097882,48,22,8,247,131,144,174,64,178,106,0
145,UMM AL MO'MENEEN,835,32691452.4566,24767.184419,24.99114436818488,55.5122297254845,0,0,0,0,0,2,2,0,1,0,1
146,JABAL ALI INDUSTRIAL SECOND,518,32565002.0182,23489.850178599998,24.95468835857719,55.105032069683546,0,2,0,29,0,2,34,2,7,4,1
147,MARGHAM,841,152594542.121,50952.1583284,24.94565033754689,55.588202630842105,0,0,0,0,0,0,0,0,0,0,1
148,AL HEBIAH THIRD,676,4304796.099669999,8650.08138354,25.022449446265373,55.25454674666273,4,2,3,40,7,28,51,17,42,4,3
149,AL WARQA'A FIRST,421,2356626.8865,6217.99155894,25.18750620032887,55.4028052962689,11,3,0,152,8,18,41,12,76,8,3
150,AL SELAL,961,170670828.433,52428.48285269999,24.891089047021474,55.27569792700118,0,0,0,0,0,0,0,0,0,0,1
151,AL BARSHA SOUTH THIRD,673,3743682.722,8291.53259462,25.060672016813673,55.23651196613646,5,5,5,66,6,36,71,42,64,11,3
152,MUSHRAIF,252,10472738.8101,15015.457239399999,25.2113824484829,55.450032587852974,4,3,0,62,4,23,48,14,57,4,3
153,RAS AL KHOR,413,7793549.1551600015,12420.9268956,25.19400533500865,55.32780247262788,1,4,1,38,7,12,30,4,16,20,1
154,AL MIZHAR FIRST,262,6864620.9595,10735.8777795,25.24492854342507,55.441639323845045,3,5,0,67,4,29,74,10,65,4,3
155,ME'AISEM FIRST,685,16423985.395,16671.060614899998,25.020491270780568,55.18787818623929,3,2,1,45,6,25,27,27,52,12,3
156,AL YUFRAH 1,915,17499991.415999994,19106.4038112,25.00241416315309,55.43254840864607,0,0,0,4,1,4,0,0,1,1,1
157,AL BARSHA SOUTH FIFTH,684,2951378.61807,10868.9366587,25.04485704007634,55.18668768869522,10,6,4,47,7,45,39,44,51,10,3
158,AL KHWANEEJ FIRST,281,16411872.5613,16552.0361657,25.24471505110885,55.48710216165145,4,2,0,57,2,14,28,2,16,5,1
159,AL BARSHA THIRD,375,4946791.4525,10125.6919843,25.09215370710051,55.19869307299563,17,13,2,111,42,66,95,41,145,113,2
160,AL MUTEENA,123,1113041.985,4318.7577921,25.27394692437164,55.32282215772934,34,13,4,197,59,69,115,16,130,128,2
