,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
69,AL QOUZ SECOND,355,5324591.09775,9575.22812838,25.150970364664346,55.271131354242286,1,Sector 3,4463.0,4551.0,5240.0,984.1131279008928,15.139529773676118,2 < x <= 20,10 < x <1000,1,0.00019083969465648855,0.19083969465648856
70,AL YALAYIS 3,923,12340311.9043,16043.2723989,24.97341888812417,55.34571461438204,0,Sector 9,4.0,4.0,4.0,0.3241409156446195,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
71,AL WAJEHA AL BAHRIAH,502,124735324.01,49534.3111447,24.989467989214358,54.90485047873428,0,Sector 5,4.0,4.0,4.0,0.032067900827189265,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
72,YARAAH,861,76472908.38,37281.55931100001,24.764473462984448,55.67104849881567,0,Sector 8,88.0,94.0,94.0,1.2291934750657905,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
73,OUD METHA,319,1515958.3365,5255.198421600001,25.23759763419334,55.312227103650386,42,Sector 3,13364.0,13616.0,14901.0,9829.425810212562,9.43742655699178,2 < x <= 20,1000 < x <= 10k,1,0.0028186027783370245,2.8186027783370244
74,MUHAISANAH THIRD,244,1753300.7565,5783.03483409,25.271802551224013,55.4042750072505,3,Sector 2,5950.0,6129.0,6493.0,3703.300746280149,5.938978626203295,2 < x <= 20,1000 < x <= 10k,1,0.00046203603881102723,0.4620360388110273
75,NADD HESSA,626,9804465.2285,13833.1589741,25.124325353925425,55.3862682649525,0,Sector 6,34074.0,35361.0,38494.0,3926.1702808740806,8.860043550804566,2 < x <= 20,1000 < x <= 10k,1,0.0,0.0
76,JUMEIRA BAY,302,990538.921262,8026.36895076,25.215839919611913,55.23358222609772,8,Sector 3,20.0,39.0,39.0,39.372506383001976,0.0,-2 < x <=2,10 < x <1000,1,0.20512820512820512,205.12820512820514
77,WARSAN FIRST,621,8426532.67816,11420.0158654,25.16521045611041,55.409833079665184,2,Sector 6,94460.0,97159.0,106072.0,12587.858381528478,9.173622618594267,2 < x <= 20,10k < x <= 50k,1,1.8855117278829475e-05,0.018855117278829474
78,AL HEBIAH FOURTH,682,9145533.76673,12792.8661567,25.031898465217573,55.21960996296431,1,Sector 6,13422.0,18789.0,20611.0,2253.6683506630898,9.697163233807004,2 < x <= 20,1000 < x <= 10k,1,4.8517781767017614e-05,0.04851778176701761
